idx,question,story,properties,answer_options,answer,question_is_multiple
"{'story': mc500.test.0, 'question': 0}",What time did the party start?,"It was Sally's birthday. She was very excited. She was going to have a sleepover at her house for her birthday. She invited all of her best friends. The party was at 1 on Saturday. Jessica, Erin, and Cathy all arrived at 1, but Jennifer was late. She did not come until 2, because she could not find her other shoe. The first thing they all did was go swimming in her pool. They had so much fun. They played with the foam noodles in the pool. Erin accidentally kicked Jennifer's leg in the pool. After they swam, everyone rinsed off and went inside. They ate cake, opened presents, and watched TV. After it got dark, they ran up and down the stairway, played telephone, and told spooky stories. Sally tripped going down the stairs and hurt her foot, but it felt better soon after. Cathy got scared when they were telling stories, and wanted to call her mom to go home. The other girls told her that it is only a story. She felt better. They all fell asleep at 11. Sally was the first to wake up at 8 in the morning. She made pancakes for her and her friends. They all loved the pancakes, except Erin. She ate some fruit instead. At 10, all the girls went back home. Sally was happy that she had such a great birthday party.","{'author': 3263425784, 'work_time': 1151, 'quality_score': 95, 'creativity_words': [shoe, pillow, kick, noodle, leg, rinse, bye, stairway, butt, button, gum, shouting, telephone, die, eat]}","{'A': 10, 'B': 2, 'C': 11, 'D': 1}",D,FALSE
"{'story': mc500.test.0, 'question': 1}",Who got hurt at the party?,"It was Sally's birthday. She was very excited. She was going to have a sleepover at her house for her birthday. She invited all of her best friends. The party was at 1 on Saturday. Jessica, Erin, and Cathy all arrived at 1, but Jennifer was late. She did not come until 2, because she could not find her other shoe. The first thing they all did was go swimming in her pool. They had so much fun. They played with the foam noodles in the pool. Erin accidentally kicked Jennifer's leg in the pool. After they swam, everyone rinsed off and went inside. They ate cake, opened presents, and watched TV. After it got dark, they ran up and down the stairway, played telephone, and told spooky stories. Sally tripped going down the stairs and hurt her foot, but it felt better soon after. Cathy got scared when they were telling stories, and wanted to call her mom to go home. The other girls told her that it is only a story. She felt better. They all fell asleep at 11. Sally was the first to wake up at 8 in the morning. She made pancakes for her and her friends. They all loved the pancakes, except Erin. She ate some fruit instead. At 10, all the girls went back home. Sally was happy that she had such a great birthday party.","{'author': 3263425784, 'work_time': 1151, 'quality_score': 95, 'creativity_words': [shoe, pillow, kick, noodle, leg, rinse, bye, stairway, butt, button, gum, shouting, telephone, die, eat]}","{'A': Erin and Jennifer, 'B': Cathy and Erin, 'C': Jennifer and Sally, 'D': Erin and Sally}",C,TRUE
"{'story': mc500.test.0, 'question': 2}",Whose birthday is it?,"It was Sally's birthday. She was very excited. She was going to have a sleepover at her house for her birthday. She invited all of her best friends. The party was at 1 on Saturday. Jessica, Erin, and Cathy all arrived at 1, but Jennifer was late. She did not come until 2, because she could not find her other shoe. The first thing they all did was go swimming in her pool. They had so much fun. They played with the foam noodles in the pool. Erin accidentally kicked Jennifer's leg in the pool. After they swam, everyone rinsed off and went inside. They ate cake, opened presents, and watched TV. After it got dark, they ran up and down the stairway, played telephone, and told spooky stories. Sally tripped going down the stairs and hurt her foot, but it felt better soon after. Cathy got scared when they were telling stories, and wanted to call her mom to go home. The other girls told her that it is only a story. She felt better. They all fell asleep at 11. Sally was the first to wake up at 8 in the morning. She made pancakes for her and her friends. They all loved the pancakes, except Erin. She ate some fruit instead. At 10, all the girls went back home. Sally was happy that she had such a great birthday party.","{'author': 3263425784, 'work_time': 1151, 'quality_score': 95, 'creativity_words': [shoe, pillow, kick, noodle, leg, rinse, bye, stairway, butt, button, gum, shouting, telephone, die, eat]}","{'A': Cathy, 'B': Jessica, 'C': Sally, 'D': Jennifer}",C,FALSE
"{'story': mc500.test.0, 'question': 3}",What time did Jennifer arrive to the party?,"It was Sally's birthday. She was very excited. She was going to have a sleepover at her house for her birthday. She invited all of her best friends. The party was at 1 on Saturday. Jessica, Erin, and Cathy all arrived at 1, but Jennifer was late. She did not come until 2, because she could not find her other shoe. The first thing they all did was go swimming in her pool. They had so much fun. They played with the foam noodles in the pool. Erin accidentally kicked Jennifer's leg in the pool. After they swam, everyone rinsed off and went inside. They ate cake, opened presents, and watched TV. After it got dark, they ran up and down the stairway, played telephone, and told spooky stories. Sally tripped going down the stairs and hurt her foot, but it felt better soon after. Cathy got scared when they were telling stories, and wanted to call her mom to go home. The other girls told her that it is only a story. She felt better. They all fell asleep at 11. Sally was the first to wake up at 8 in the morning. She made pancakes for her and her friends. They all loved the pancakes, except Erin. She ate some fruit instead. At 10, all the girls went back home. Sally was happy that she had such a great birthday party.","{'author': 3263425784, 'work_time': 1151, 'quality_score': 95, 'creativity_words': [shoe, pillow, kick, noodle, leg, rinse, bye, stairway, butt, button, gum, shouting, telephone, die, eat]}","{'A': 1, 'B': 2, 'C': 8, 'D': 10}",B,TRUE
"{'story': mc500.test.1, 'question': 0}",What did the piggies do when Andy got back from his walk?,"On the farm there was a little piggy named Andy. Andy was very sweet, but he was always dirty. He loved to roll around in the mud. None of the other piggies wanted to play with him. He wished they would be his friends. One day he was going on a walk on the farm. He walked by and saw his favorite big tree. He walked farther than he ever had before. He saw a bunch of pretty flowers. Then he saw something that he had never seen before. It was a river! He ran down to the river, shouting with joy. He got down low in the cool water swam around for a bit. He ran back to the farm where the other piggies were. He was finally clean. They all played games until dinner time. When it was time for dessert the piggies each got a cupcake. Looking at all his new friends, Andy smiled and took a big bite of his tasty treat.","{'author': 3916660097, 'work_time': 1043, 'quality_score': 90, 'creativity_words': [shouting, wish, river, sofa, arm, pee, sweet, cough, low, cutting, medicine, lettuce, button, piggy, bite]}","{'A': play games and eat dinner, 'B': play in the mud and go for a walk, 'C': swim in the river and play games, 'D': go for a walk and look at flowers}",A,TRUE
"{'story': mc500.test.1, 'question': 1}",What did Andy see on his walk?,"On the farm there was a little piggy named Andy. Andy was very sweet, but he was always dirty. He loved to roll around in the mud. None of the other piggies wanted to play with him. He wished they would be his friends. One day he was going on a walk on the farm. He walked by and saw his favorite big tree. He walked farther than he ever had before. He saw a bunch of pretty flowers. Then he saw something that he had never seen before. It was a river! He ran down to the river, shouting with joy. He got down low in the cool water swam around for a bit. He ran back to the farm where the other piggies were. He was finally clean. They all played games until dinner time. When it was time for dessert the piggies each got a cupcake. Looking at all his new friends, Andy smiled and took a big bite of his tasty treat.","{'author': 3916660097, 'work_time': 1043, 'quality_score': 90, 'creativity_words': [shouting, wish, river, sofa, arm, pee, sweet, cough, low, cutting, medicine, lettuce, button, piggy, bite]}","{'A': other piggies, 'B': flowers and a tree, 'C': tasty treats, 'D': a mud puddle}",B,TRUE
"{'story': mc500.test.1, 'question': 2}",What did Andy love to roll around in?,"On the farm there was a little piggy named Andy. Andy was very sweet, but he was always dirty. He loved to roll around in the mud. None of the other piggies wanted to play with him. He wished they would be his friends. One day he was going on a walk on the farm. He walked by and saw his favorite big tree. He walked farther than he ever had before. He saw a bunch of pretty flowers. Then he saw something that he had never seen before. It was a river! He ran down to the river, shouting with joy. He got down low in the cool water swam around for a bit. He ran back to the farm where the other piggies were. He was finally clean. They all played games until dinner time. When it was time for dessert the piggies each got a cupcake. Looking at all his new friends, Andy smiled and took a big bite of his tasty treat.","{'author': 3916660097, 'work_time': 1043, 'quality_score': 90, 'creativity_words': [shouting, wish, river, sofa, arm, pee, sweet, cough, low, cutting, medicine, lettuce, button, piggy, bite]}","{'A': mud, 'B': cupcakes, 'C': grass, 'D': water}",A,FALSE
"{'story': mc500.test.1, 'question': 3}",What did the other piggies not want to do with Andy?,"On the farm there was a little piggy named Andy. Andy was very sweet, but he was always dirty. He loved to roll around in the mud. None of the other piggies wanted to play with him. He wished they would be his friends. One day he was going on a walk on the farm. He walked by and saw his favorite big tree. He walked farther than he ever had before. He saw a bunch of pretty flowers. Then he saw something that he had never seen before. It was a river! He ran down to the river, shouting with joy. He got down low in the cool water swam around for a bit. He ran back to the farm where the other piggies were. He was finally clean. They all played games until dinner time. When it was time for dessert the piggies each got a cupcake. Looking at all his new friends, Andy smiled and took a big bite of his tasty treat.","{'author': 3916660097, 'work_time': 1043, 'quality_score': 90, 'creativity_words': [shouting, wish, river, sofa, arm, pee, sweet, cough, low, cutting, medicine, lettuce, button, piggy, bite]}","{'A': walk, 'B': swim, 'C': eat, 'D': play}",D,FALSE
"{'story': mc500.test.2, 'question': 0}",Why was Justin's father proud of him?,"A little boy named Justin lived on a farm.  His father James owned the farm.  His uncles Jerry, Todd, and Billy also worked on the farm.\newline\newlineThe farm had chickens, cows, horses, sheep, and pigs.  He loved to play with all of the animals on the farm, but the horses were his favorite.  He would spend all day riding the horses.  He loved when baby horses were born.  They were born in the spring.  When a baby horse was born, Justin's father would bring the baby out of the barn for Justin to pet.  \newline\newlineJustin also loved playing in the fields on the farm.  He would run through the meadows trying to catch butterflies.  He also loved to stay up late and catch fireflies in the dark.  \newline\newlineJustin also loved going fishing in the summer.  On one Tuesday evening, he went to the farm's pond and caught a huge catfish.  The fish was so large that it almost broke his fishing pole.  Justin brought the fish in.  \newline\newlineThe fish looked at Justin with sad eyes.  Looking at the fish, Justin felt bad that he had caught it.  He threw the catfish back into the pond.\newline \newlineHe packed away his fishing pole and went back home.  He told his father about the catfish and how he let it go.  \newline\newlineHis father said, ""I am proud of you for doing that, son.""","{'author': 4050452632, 'work_time': 1072, 'quality_score': 95, 'creativity_words': [riding, thank, auntie, walk, write, maybe, welcome, twinkle, sing, party, winning, bearing, arm, present, twinkle]}","{'A': He caught a butterfly, 'B': He let the catfish go, 'C': He chased lightning bugs, 'D': He rode a horse}",B,TRUE
"{'story': mc500.test.2, 'question': 1}",What was Justin's favorite animal?,"A little boy named Justin lived on a farm.  His father James owned the farm.  His uncles Jerry, Todd, and Billy also worked on the farm.\newline\newlineThe farm had chickens, cows, horses, sheep, and pigs.  He loved to play with all of the animals on the farm, but the horses were his favorite.  He would spend all day riding the horses.  He loved when baby horses were born.  They were born in the spring.  When a baby horse was born, Justin's father would bring the baby out of the barn for Justin to pet.  \newline\newlineJustin also loved playing in the fields on the farm.  He would run through the meadows trying to catch butterflies.  He also loved to stay up late and catch fireflies in the dark.  \newline\newlineJustin also loved going fishing in the summer.  On one Tuesday evening, he went to the farm's pond and caught a huge catfish.  The fish was so large that it almost broke his fishing pole.  Justin brought the fish in.  \newline\newlineThe fish looked at Justin with sad eyes.  Looking at the fish, Justin felt bad that he had caught it.  He threw the catfish back into the pond.\newline \newlineHe packed away his fishing pole and went back home.  He told his father about the catfish and how he let it go.  \newline\newlineHis father said, ""I am proud of you for doing that, son.""","{'author': 4050452632, 'work_time': 1072, 'quality_score': 95, 'creativity_words': [riding, thank, auntie, walk, write, maybe, welcome, twinkle, sing, party, winning, bearing, arm, present, twinkle]}","{'A': pig, 'B': chicken, 'C': horse, 'D': cow}",C,FALSE
